step,time,resid_cross,resid_skew
0.000000000000000000e+00,1.000000000000000666e+00,5.468975410105056958e-16,5.474144699772844924e-16
1.000000000000000000e+00,1.999999999999979350e+00,1.256073966947020133e-15,8.886415910941511498e-16
2.000000000000000000e+00,2.999999999999958256e+00,7.447602459741819353e-16,7.213747343784620747e-16
3.000000000000000000e+00,3.999999999999936939e+00,1.275549143317628834e-15,4.823775678757116759e-16
4.000000000000000000e+00,4.999999999999915623e+00,7.850462293418875587e-16,1.340873283161377664e-15
