step,time,resid_cross,resid_skew
0.000000000000000000e+00,1.000000000000000666e+00,8.886119947416682612e-16,5.445698226452742817e-16
1.000000000000000000e+00,1.999999999999979350e+00,1.110223024625156540e-15,1.032236170711322865e-15
2.000000000000000000e+00,2.999999999999958256e+00,4.577566798522237452e-16,6.679698282213034656e-16
3.000000000000000000e+00,3.999999999999936939e+00,1.087791964408414583e-15,4.700672679855321165e-16
4.000000000000000000e+00,4.999999999999915623e+00,4.965068306494546235e-16,3.736547400127370979e-16
